"Path","Category","Risk","ProposedDisposition","TrackedByGit","Bytes","LastModified"
"supabase\functions\admin-create-tenant\deno.json","backend-edge-function","critical","keep","False","141","2026-08-09T10:32:41"
"supabase\functions\admin-create-tenant\deno.lock","backend-edge-function","critical","keep","False","2119","2026-08-09T10:35:55"
"supabase\functions\admin-create-tenant\index.ts","backend-edge-function","critical","keep","False","7462","2026-08-09T10:33:20"
"supabase\functions\member-promotion-email\deno.json","backend-edge-function","critical","keep","False","141","2026-08-09T10:32:51"
"supabase\functions\member-promotion-email\deno.lock","backend-edge-function","critical","keep","False","2119","2026-08-09T10:36:04"
"supabase\functions\member-promotion-email\index.ts","backend-edge-function","critical","keep","False","8728","2026-08-09T10:33:31"
"supabase\functions\store-attendant\deno.json","backend-edge-function","critical","keep","False","141","2026-08-09T10:33:02"
"supabase\functions\store-attendant\deno.lock","backend-edge-function","critical","keep","False","2119","2026-08-09T10:36:09"
"supabase\functions\store-attendant\index.ts","backend-edge-function","critical","keep","False","17199","2026-08-09T10:33:42"
"supabase\functions\telegram-bot\deno.json","backend-edge-function","critical","keep","False","141","2026-08-09T10:33:10"
"supabase\functions\telegram-bot\deno.lock","backend-edge-function","critical","keep","False","2119","2026-08-09T10:36:14"
"supabase\functions\telegram-bot\index.ts","backend-edge-function","critical","keep","True","9023","2026-08-09T10:33:52"
"supabase\access_control_hardening_20260717.sql","database-operation","critical","review-and-organize","False","15994","2026-07-17T07:07:57"
"supabase\activate_store_attendants_for_all_tenants_20260804.sql","database-operation","critical","review-and-organize","False","1477","2026-08-04T20:40:05"
"supabase\add_physical_space_teleport_points_20260718.sql","database-operation","critical","review-and-organize","False","2736","2026-08-05T22:56:37"
"supabase\admin_assign_store_owner_helper_20260701.sql","database-operation","critical","review-and-organize","False","3092","2026-07-01T16:20:21"
"supabase\admin_delete_accounts.sql","database-operation","critical","review-and-organize","True","4338","2026-05-30T14:26:07"
"supabase\admin_enable_current_schema.sql","database-operation","critical","review-and-organize","True","6490","2026-05-30T14:28:05"
"supabase\admin_login_hardening_20260530.sql","database-operation","critical","review-and-organize","True","3019","2026-05-30T14:26:25"
"supabase\analytics_foundation_20260726.sql","database-operation","critical","review-and-organize","False","22988","2026-07-26T08:12:09"
"supabase\assign_NO10_to_jacqueline_20260804.sql","database-operation","critical","review-and-organize","False","5759","2026-08-04T22:08:46"
"supabase\diagnose_store_asset_access.sql","database-operation","critical","review-and-organize","True","1798","2026-05-30T14:28:09"
"supabase\emergency_core_access_lockdown_20260717.sql","database-operation","critical","review-and-organize","False","4","2026-07-17T07:33:19"
"supabase\enroll_andres_marquez_E106_20260722.sql","database-operation","critical","review-and-organize","False","7694","2026-07-22T23:16:02"
"supabase\enroll_five_tenants_20260722.sql","database-operation","critical","review-and-organize","False","6","2026-07-22T23:04:08"
"supabase\enroll_five_tenants_20260722_v2.sql","database-operation","critical","review-and-organize","False","10199","2026-07-22T23:07:30"
"supabase\finalize_current_store_identity_20260806.sql","database-operation","critical","review-and-organize","False","3271","2026-08-06T22:59:20"
"supabase\fix_tenant_catalog_permissions_20260717.sql","database-operation","critical","review-and-organize","False","5024","2026-07-22T22:55:07"
"supabase\import_listado_usuarias_20260701.sql","database-operation","critical","review-and-organize","False","9070","2026-07-01T15:56:46"
"supabase\mall_access_schema.sql","database-operation","critical","review-and-organize","True","12525","2026-05-30T14:27:58"
"supabase\mall_current_setup.sql","database-operation","critical","review-and-organize","True","36207","2026-06-29T23:30:13"
"supabase\member_benefits_20260803.sql","database-operation","critical","review-and-organize","False","10107","2026-08-03T20:09:00"
"supabase\move_anghie_O105_to_O205_20260803.sql","database-operation","critical","review-and-organize","False","7643","2026-08-03T09:16:38"
"supabase\normalize_store_identifiers_to_display_codes.sql","database-operation","critical","review-and-organize","True","7022","2026-05-22T10:08:17"
"supabase\physical_spaces_bootstrap_20260520.sql","database-operation","critical","review-and-organize","True","25297","2026-05-20T11:59:49"
