type,id,x,y,z,rotation_y,classification
planter,,0,0,-70,0,common-area
bench,,8,0.1,-70,1.5707963267948966,common-area
bench,,-8,0.1,-70,1.5707963267948966,common-area
planter,,-70,0,0,0,common-area
bench,,-70,0.1,8,0,common-area
bench,,-70,0.1,-8,0,common-area
planter,,0,0,-45,0,common-area
bench,,8,0.1,-45,1.5707963267948966,common-area
bench,,-8,0.1,-45,1.5707963267948966,common-area
planter,,-45,0,0,0,common-area
bench,,-45,0.1,8,0,common-area
bench,,-45,0.1,-8,0,common-area
planter,,0,0,-20,0,common-area
bench,,8,0.1,-20,1.5707963267948966,common-area
bench,,-8,0.1,-20,1.5707963267948966,common-area
planter,,-20,0,0,0,common-area
bench,,-20,0.1,8,0,common-area
bench,,-20,0.1,-8,0,common-area
planter,,0,0,28,0,common-area
bench,,8,0.1,28,1.5707963267948966,common-area
bench,,-8,0.1,28,1.5707963267948966,common-area
planter,,28,0,0,0,common-area
bench,,28,0.1,8,0,common-area
bench,,28,0.1,-8,0,common-area
planter,,0,0,48,0,common-area
bench,,8,0.1,48,1.5707963267948966,common-area
bench,,-8,0.1,48,1.5707963267948966,common-area
planter,,48,0,0,0,common-area
bench,,48,0.1,8,0,common-area
bench,,48,0.1,-8,0,common-area
fountain,,0,0.1,0,0,common-area
digital-screen,,0,22,17,0,common-fixture
digital-screen,,0,22,-17,3.141592653589793,common-fixture
digital-screen,,17,22,0,-1.5707963267948966,common-fixture
digital-screen,,-17,22,0,1.5707963267948966,common-fixture
information-totem,atrium,0,0,10,0,common-area
information-totem,north,0,0,78,3.141592653589793,common-area
information-totem,south,0,0,-78,0,common-area
information-totem,east,-78,0,0,1.5707963267948966,common-area
information-totem,west,78,0,0,-1.5707963267948966,common-area
