physical_space_id,kind,floor_label,axis,quadrant,slot_index,source_code_supabase,display_code_supabase,generated_code_3d,renamed_code_3d,plate_code_3d,inventory_status,coordinates,status
phys_anchor_e,anchor,2-niveles,anchor,E,1,E,E,E,E,E,anchor,"(-125,35) | (-125,-35) | (-90.95,-35) | (-90.95,35) | y:0-15",MATCH
phys_anchor_n,anchor,2-niveles,anchor,N,1,N,N,N,N,N,anchor,"(35,125) | (-35,125) | (-35,90.95) | (35,90.95) | y:0-15",MATCH
phys_anchor_o,anchor,2-niveles,anchor,O,1,O,O,O,O,O,anchor,"(125,-35) | (125,35) | (90.95,35) | (90.95,-35) | y:0-15",MATCH
phys_anchor_s,anchor,2-niveles,anchor,S,1,S,S,S,S,S,anchor,"(-35,-125) | (35,-125) | (35,-90.95) | (-35,-90.95) | y:0-15",MATCH
phys_b_f1_xn_zn_horizontal_01,boutique,1,horizontal,xn_zn,1,S101,OS-10,S101,OS-10,OS-10,candidate_store,"(-29,-35) | (-17,-35) | (-17,-17) | (-29,-17) | y:0-5.2",MATCH
phys_b_f1_xn_zn_horizontal_02,boutique,1,horizontal,xn_zn,2,S102,O-107,S102,O-107,E-108,candidate_store,"(-41,-35) | (-29,-35) | (-29,-17) | (-41,-17) | y:0-5.2",MISMATCH
phys_b_f1_xn_zn_horizontal_03,boutique,1,horizontal,xn_zn,3,S103,O-105,S103,O-105,E-106,candidate_store,"(-53,-35) | (-41,-35) | (-41,-17) | (-53,-17) | y:0-5.2",MISMATCH
phys_b_f1_xn_zn_horizontal_04,boutique,1,horizontal,xn_zn,4,S104,O-103,S104,O-103,E-104,candidate_store,"(-71,-35) | (-59,-35) | (-59,-17) | (-71,-17) | y:0-5.2",MISMATCH
phys_b_f1_xn_zn_horizontal_05,boutique,1,horizontal,xn_zn,5,S105,O-101,S105,O-101,E-102,candidate_store,"(-83,-35) | (-71,-35) | (-71,-17) | (-83,-17) | y:0-5.2",MISMATCH
phys_b_f1_xn_zn_vertical_01,boutique,1,vertical,xn_zn,1,E101,SE-10,E101,SE-10,SE-10,candidate_store,"(-35,-29) | (-17,-29) | (-17,-17) | (-35,-17) | y:0-5.2",MATCH
phys_b_f1_xn_zn_vertical_02,boutique,1,vertical,xn_zn,2,E102,S-107,E102,S-107,S-107,candidate_store,"(-35,-41) | (-17,-41) | (-17,-29) | (-35,-29) | y:0-5.2",MATCH
phys_b_f1_xn_zn_vertical_03,boutique,1,vertical,xn_zn,3,E103,S-105,E103,S-105,S-105,candidate_store,"(-35,-53) | (-17,-53) | (-17,-41) | (-35,-41) | y:0-5.2",MATCH
